,keys,card
0,Synset('entity.n.01'),21411
1,Synset('physical_entity.n.01'),12239
2,Synset('causal_agent.n.01'),2020
3,Synset('object.n.01'),7429
4,Synset('substance.n.04'),1
5,Synset('agent.n.01'),33
6,Synset('catalyst.n.02'),1
7,Synset('danger.n.03'),4
8,Synset('deus_ex_machina.n.01'),1
9,Synset('first_cause.n.01'),1
10,Synset('operator.n.02'),6
11,Synset('power.n.05'),1
12,Synset('theurgy.n.01'),1
13,Synset('catch.n.04'),1
14,Synset('commemorative.n.01'),1
15,Synset('discard.n.01'),1
16,Synset('film.n.04'),4
17,Synset('floater.n.07'),2
18,Synset('geological_formation.n.01'),52
19,Synset('hail.n.02'),1
20,Synset('hoodoo.n.04'),1
21,Synset('je_ne_sais_quoi.n.01'),1
22,Synset('land.n.02'),7
23,Synset('location.n.01'),275
24,Synset('moon.n.02'),1
25,Synset('paring.n.02'),1
26,Synset('property.n.05'),1
27,Synset('ribbon.n.01'),1
28,Synset('snake.n.05'),1
29,Synset('triviality.n.03'),1
30,Synset('wall.n.02'),1
31,Synset('whole.n.02'),6999
32,Synset('eliminator.n.01'),1
33,Synset('infectious_agent.n.01'),24
34,Synset('motor.n.02'),1
35,Synset('quickener.n.01'),1
36,Synset('repressor.n.01'),1
37,Synset('satisfier.n.01'),1
38,Synset('stressor.n.01'),1
39,Synset('vasoconstrictor.n.01'),4
40,Synset('weakener.n.01'),1
41,Synset('menace.n.01'),1
42,Synset('company_operator.n.01'),1
43,Synset('elevator_operator.n.01'),1
44,Synset('hoister.n.01'),1
45,Synset('motorman.n.01'),1
46,Synset('switchman.n.01'),1
47,Synset('telephone_operator.n.01'),1
48,Synset('juggernaut.n.01'),1
49,Synset('scum.n.02'),2
50,Synset('soap_film.n.01'),1
51,Synset('aquifer.n.01'),1
52,Synset('cave.n.01'),1
53,Synset('delta.n.01'),1
54,Synset('folium.n.01'),1
55,Synset('ice_mass.n.01'),4
56,Synset('massif.n.01'),1
57,Synset('mouth.n.04'),1
58,Synset('natural_elevation.n.01'),16
59,Synset('range.n.04'),1
60,Synset('ridge.n.03'),1
61,Synset('shore.n.01'),2
62,Synset('spring.n.03'),1
63,Synset('vein.n.04'),1
64,Synset('wall.n.05'),1
65,Synset('badlands.n.01'),1
66,Synset('coastland.n.01'),1
67,Synset('overburden.n.01'),1
68,Synset('polder.n.01'),1
69,Synset('scablands.n.01'),1
70,Synset('wetland.n.01'),4
71,Synset('bilocation.n.01'),1
72,Synset('east.n.05'),1
73,Synset('home.n.03'),1
74,Synset('line.n.11'),19
75,Synset('northeast.n.04'),1
76,Synset('outer_space.n.01'),1
77,Synset('point.n.02'),59
78,Synset('region.n.03'),109
79,Synset('sodom.n.01'),1
80,Synset('south.n.04'),1
81,Synset('southwest.n.04'),1
82,Synset('there.n.01'),1
83,Synset('whereabouts.n.01'),1
84,Synset('blade.n.03'),1
85,Synset('plumber's_snake.n.01'),1
86,Synset('bagatelle.n.02'),1
87,Synset('hanging_wall.n.01'),1
88,Synset('assembly.n.05'),1
89,Synset('item.n.03'),1
90,Synset('natural_object.n.01'),272
91,Synset('obliterator.n.01'),1
92,Synset('virus.n.01'),23
93,Synset('angiotensin.n.01'),1
94,Synset('epinephrine.n.01'),1
95,Synset('naphazoline.n.01'),1
96,Synset('noradrenaline.n.01'),1
97,Synset('vasopressor.n.01'),1
98,Synset('elevator_girl.n.01'),1
99,Synset('slag.n.01'),1
100,Synset('cove.n.02'),1
101,Synset('glacier.n.01'),2
102,Synset('ice_floe.n.01'),1
103,Synset('icecap.n.01'),1
104,Synset('hill.n.01'),2
105,Synset('promontory.n.01'),1
106,Synset('swell.n.02'),1
107,Synset('seashore.n.01'),1
108,Synset('fountain_of_youth.n.01'),1
109,Synset('hot_spring.n.01'),1
110,Synset('bog.n.01'),1
